phi,Alice,CMS,ATLAS
-1.18,0.0172391,0.0170538,0.0168401
-1.17213,0.0174221,0.0172277,0.0170115
-1.16427,0.0176071,0.0174035,0.0171847
-1.1564,0.0177942,0.0175813,0.0173598
-1.14853,0.0179833,0.0177609,0.0175368
-1.14067,0.0181746,0.0179425,0.0177158
-1.1328,0.0183679,0.018126,0.0178966
-1.12493,0.0185634,0.0183114,0.0180793
-1.11707,0.018761,0.0184988,0.018264
-1.1092,0.0189607,0.0186882,0.0184506
-1.10133,0.0191626,0.0188796,0.0186392
-1.09347,0.0193666,0.019073,0.0188297
-1.0856,0.0195728,0.0192684,0.0190223
-1.07773,0.0197812,0.0194658,0.0192168
-1.06987,0.0199918,0.0196652,0.0194132
-1.062,0.0202045,0.0198667,0.0196117
-1.05413,0.0204195,0.0200702,0.0198122
-1.04627,0.0206368,0.0202757,0.0200148
-1.0384,0.0208562,0.0204833,0.0202193
-1.03053,0.0210779,0.0206929,0.0204259
-1.02267,0.0213018,0.0209046,0.0206345
-1.0148,0.021528,0.0211184,0.0208451
-1.00693,0.0217564,0.0213343,0.0210578
-0.999067,0.0219871,0.0215522,0.0212726
-0.9912,0.0222201,0.0217723,0.0214894
-0.983333,0.0224553,0.0219944,0.0217082
-0.975467,0.0226928,0.0222186,0.0219291
-0.9676,0.0229326,0.0224449,0.0221521
-0.959733,0.0231747,0.0226733,0.0223772
-0.951867,0.0234191,0.0229038,0.0226043
-0.944,0.0236657,0.0231363,0.0228334
-0.936133,0.0239146,0.023371,0.0230646
-0.928267,0.0241658,0.0236078,0.0232979
-0.9204,0.0244193,0.0238466,0.0235333
-0.912533,0.024675,0.0240876,0.0237707
-0.904667,0.024933,0.0243306,0.0240101
-0.8968,0.0251933,0.0245757,0.0242516
-0.888933,0.0254559,0.0248228,0.0244952
-0.881067,0.0257207,0.025072,0.0247407
-0.8732,0.0259877,0.0253233,0.0249883
-0.865333,0.026257,0.0255766,0.0252379
-0.857467,0.0265285,0.025832,0.0254896
-0.8496,0.0268023,0.0260894,0.0257432
-0.841733,0.0270782,0.0263488,0.0259988
-0.833867,0.0273563,0.0266101,0.0262563
-0.826,0.0276366,0.0268735,0.0265158
-0.818133,0.0279191,0.0271389,0.0267773
-0.810267,0.0282037,0.0274061,0.0270407
-0.8024,0.0284904,0.0276754,0.027306
-0.794533,0.0287792,0.0279465,0.0275732
-0.786667,0.0290701,0.0282195,0.0278422
-0.7788,0.0293631,0.0284944,0.0281131
-0.770933,0.029658,0.0287712,0.0283858
-0.763067,0.029955,0.0290497,0.0286603
-0.7552,0.030254,0.0293301,0.0289366
-0.747333,0.0305549,0.0296122,0.0292146
-0.739467,0.0308578,0.0298961,0.0294944
-0.7316,0.0311625,0.0301817,0.0297758
-0.723733,0.0314691,0.0304689,0.0300589
-0.715867,0.0317774,0.0307578,0.0303436
-0.708,0.0320876,0.0310483,0.0306298
-0.700133,0.0323995,0.0313404,0.0309177
-0.692267,0.032713,0.031634,0.031207
-0.6844,0.0330283,0.031929,0.0314978
-0.676533,0.0333451,0.0322255,0.03179
-0.668667,0.0336635,0.0325234,0.0320836
