phi,Alice,CMS,ATLAS
-1,0.0142093,0.0139309,0.0137382
-0.993333,0.0143742,0.0140876,0.0138925
-0.986667,0.0145409,0.0142459,0.0140484
-0.98,0.0147095,0.0144061,0.0142061
-0.973333,0.01488,0.014568,0.0143655
-0.966667,0.0150524,0.0147316,0.0145267
-0.96,0.0152268,0.0148971,0.0146896
-0.953333,0.015403,0.0150643,0.0148543
-0.946667,0.0155812,0.0152333,0.0150207
-0.94,0.0157614,0.0154042,0.015189
-0.933333,0.0159435,0.0155768,0.015359
-0.926667,0.0161276,0.0157513,0.0155308
-0.92,0.0163137,0.0159277,0.0157045
-0.913333,0.0165018,0.0161059,0.01588
-0.906667,0.0166919,0.0162859,0.0160573
-0.9,0.016884,0.0164678,0.0162364
-0.893333,0.0170781,0.0166516,0.0164174
-0.886667,0.0172743,0.0168373,0.0166003
-0.88,0.0174725,0.0170249,0.016785
-0.873333,0.0176728,0.0172144,0.0169715
-0.866667,0.0178751,0.0174057,0.01716
-0.86,0.0180795,0.017599,0.0173503
-0.853333,0.0182859,0.0177942,0.0175426
-0.846667,0.0184945,0.0179913,0.0177367
-0.84,0.0187051,0.0181903,0.0179327
-0.833333,0.0189178,0.0183913,0.0181306
-0.826667,0.0191326,0.0185942,0.0183304
-0.82,0.0193495,0.018799,0.0185321
-0.813333,0.0195685,0.0190058,0.0187357
-0.806667,0.0197896,0.0192145,0.0189413
-0.8,0.0200128,0.0194251,0.0191487
-0.793333,0.0202381,0.0196377,0.0193581
-0.786667,0.0204655,0.0198522,0.0195693
-0.78,0.020695,0.0200687,0.0197825
-0.773333,0.0209266,0.0202871,0.0199976
-0.766667,0.0211603,0.0205074,0.0202146
-0.76,0.0213961,0.0207297,0.0204335
-0.753333,0.021634,0.0209538,0.0206543
-0.746667,0.0218739,0.0211799,0.0208769
-0.74,0.022116,0.021408,0.0211015
-0.733333,0.0223601,0.0216379,0.021328
-0.726667,0.0226063,0.0218697,0.0215563
-0.72,0.0228546,0.0221034,0.0217865
-0.713333,0.0231049,0.022339,0.0220185
-0.706667,0.0233572,0.0225764,0.0222524
-0.7,0.0236116,0.0228158,0.0224881
-0.693333,0.0238679,0.0230569,0.0227256
-0.686667,0.0241263,0.0232999,0.022965
-0.68,0.0243866,0.0235447,0.0232061
-0.673333,0.0246489,0.0237913,0.023449
-0.666667,0.0249132,0.0240397,0.0236937
-0.66,0.0251794,0.0242899,0.0239401
-0.653333,0.0254475,0.0245418,0.0241882
-0.646667,0.0257174,0.0247954,0.024438
-0.64,0.0259892,0.0250507,0.0246895
-0.633333,0.0262629,0.0253077,0.0249427
-0.626667,0.0265384,0.0255664,0.0251975
-0.62,0.0268156,0.0258267,0.0254539
-0.613333,0.0270946,0.0260885,0.0257119
-0.606667,0.0273753,0.026352,0.0259714
-0.6,0.0276577,0.026617,0.0262324
-0.593333,0.0279418,0.0268835,0.0264949
-0.586667,0.0282275,0.0271514,0.0267589
-0.58,0.0285147,0.0274208,0.0270243
-0.573333,0.0288035,0.0276916,0.0272911
-0.566667,0.0290937,0.0279637,0.0275592
-0.56,0.0293855,0.0282372,0.0278286
-0.553333,0.0296786,0.0285119,0.0280993
-0.546667,0.0299731,0.0287879,0.0283712
-0.54,0.0302689,0.029065,0.0286443
-0.533333,0.0305659,0.0293433,0.0289184
-0.526667,0.0308642,0.0296227,0.0291937
-0.52,0.0311636,0.0299031,0.02947
-0.513333,0.031464,0.0301845,0.0297472
-0.506667,0.0317656,0.0304668,0.0300254
-0.5,0.032068,0.0307499,0.0303044
-0.493333,0.0323714,0.0310339,0.0305842
-0.486667,0.0326756,0.0313186,0.0308648
-0.48,0.0329806,0.031604,0.031146
-0.473333,0.0332863,0.03189,0.0314278
-0.466667,0.0335926,0.0321765,0.0317102
-0.46,0.0338994,0.0324635,0.031993
-0.453333,0.0342067,0.032751,0.0322763
-0.446667,0.0345144,0.0330387,0.0325598
-0.44,0.0348224,0.0333267,0.0328436
-0.433333,0.0351306,0.0336148,0.0331276
-0.426667,0.0354389,0.033903,0.0334116
-0.42,0.0357472,0.0341912,0.0336957
-0.413333,0.0360555,0.0344793,0.0339796
-0.406667,0.0363636,0.0347672,0.0342634
-0.4,0.0366715,0.0350549,0.034547
-0.393333,0.0369789,0.0353422,0.0348301
-0.386667,0.0372859,0.035629,0.0351128
