phi,Alice,CMS,ATLAS
-1,0.0129737,0.0127195,0.0125436
-0.993333,0.0131242,0.0128626,0.0126844
-0.986667,0.0132765,0.0130072,0.0128268
-0.98,0.0134304,0.0131534,0.0129708
-0.973333,0.0135861,0.0133012,0.0131163
-0.966667,0.0137435,0.0134506,0.0132635
-0.96,0.0139027,0.0136017,0.0134122
-0.953333,0.0140636,0.0137544,0.0135626
-0.946667,0.0142263,0.0139087,0.0137146
-0.94,0.0143908,0.0140647,0.0138682
-0.933333,0.0145571,0.0142223,0.0140234
-0.926667,0.0147252,0.0143817,0.0141803
-0.92,0.0148951,0.0145427,0.0143389
-0.913333,0.0150668,0.0147054,0.0144991
-0.906667,0.0152404,0.0148698,0.014661
-0.9,0.0154158,0.0150359,0.0148246
-0.893333,0.0155931,0.0152037,0.0149898
-0.886667,0.0157722,0.0153732,0.0151568
-0.88,0.0159532,0.0155445,0.0153254
-0.873333,0.016136,0.0157175,0.0154958
-0.866667,0.0163207,0.0158922,0.0156678
-0.86,0.0165074,0.0160687,0.0158416
-0.853333,0.0166959,0.0162469,0.0160171
-0.846667,0.0168863,0.0164268,0.0161943
-0.84,0.0170786,0.0166086,0.0163733
-0.833333,0.0172728,0.0167921,0.016554
-0.826667,0.0174689,0.0169773,0.0167364
-0.82,0.0176669,0.0171643,0.0169206
-0.813333,0.0178669,0.0173531,0.0171065
-0.806667,0.0180688,0.0175437,0.0172942
-0.8,0.0182725,0.017736,0.0174836
-0.793333,0.0184783,0.0179301,0.0176748
-0.786667,0.0186859,0.018126,0.0178677
-0.78,0.0188954,0.0183236,0.0180623
-0.773333,0.0191069,0.018523,0.0182587
-0.766667,0.0193203,0.0187242,0.0184568
-0.76,0.0195356,0.0189271,0.0186566
-0.753333,0.0197528,0.0191318,0.0188582
-0.746667,0.0199719,0.0193382,0.0190616
-0.74,0.0201929,0.0195464,0.0192666
-0.733333,0.0204158,0.0197563,0.0194733
-0.726667,0.0206406,0.019968,0.0196818
-0.72,0.0208672,0.0201814,0.019892
-0.713333,0.0210957,0.0203965,0.0201038
-0.706667,0.0213261,0.0206133,0.0203174
-0.7,0.0215584,0.0208318,0.0205326
-0.693333,0.0217924,0.021052,0.0207495
-0.686667,0.0220283,0.0212738,0.020968
-0.68,0.0222661,0.0214974,0.0211882
-0.673333,0.0225055,0.0217225,0.02141
-0.666667,0.0227468,0.0219493,0.0216333
-0.66,0.0229899,0.0221777,0.0218583
-0.653333,0.0232346,0.0224077,0.0220849
-0.646667,0.0234811,0.0226393,0.022313
-0.64,0.0237293,0.0228724,0.0225426
-0.633333,0.0239792,0.0231071,0.0227738
-0.626667,0.0242307,0.0233432,0.0230064
-0.62,0.0244838,0.0235809,0.0232405
-0.613333,0.0247386,0.02382,0.023476
-0.606667,0.0249949,0.0240605,0.023713
-0.6,0.0252527,0.0243025,0.0239513
-0.593333,0.0255121,0.0245458,0.024191
-0.586667,0.0257729,0.0247904,0.0244321
-0.58,0.0260352,0.0250364,0.0246744
-0.573333,0.0262988,0.0252836,0.024918
-0.566667,0.0265639,0.0255321,0.0251628
-0.56,0.0268302,0.0257818,0.0254087
-0.553333,0.0270978,0.0260326,0.0256559
-0.546667,0.0273667,0.0262846,0.0259041
-0.54,0.0276368,0.0265376,0.0261534
-0.533333,0.027908,0.0267917,0.0264038
-0.526667,0.0281803,0.0270468,0.0266551
-0.52,0.0284537,0.0273028,0.0269074
-0.513333,0.028728,0.0275597,0.0271605
-0.506667,0.0290033,0.0278175,0.0274145
-0.5,0.0292795,0.028076,0.0276692
-0.493333,0.0295565,0.0283353,0.0279247
-0.486667,0.0298343,0.0285953,0.0281809
-0.48,0.0301127,0.0288558,0.0284376
-0.473333,0.0303918,0.029117,0.028695
-0.466667,0.0306715,0.0293786,0.0289528
-0.46,0.0309516,0.0296406,0.029211
-0.453333,0.0312322,0.029903,0.0294696
-0.446667,0.0315131,0.0301658,0.0297285
-0.44,0.0317943,0.0304287,0.0299876
-0.433333,0.0320757,0.0306918,0.0302469
-0.426667,0.0323572,0.0309549,0.0305063
-0.42,0.0326388,0.0312181,0.0307656
-0.413333,0.0329202,0.0314811,0.0310249
-0.406667,0.0332016,0.031744,0.031284
-0.4,0.0334826,0.0320066,0.0315429
-0.393333,0.0337634,0.0322689,0.0318014
-0.386667,0.0340437,0.0325308,0.0320595
-0.38,0.0343235,0.0327922,0.0323171
-0.373333,0.0346026,0.0330529,0.0325741
-0.366667,0.034881,0.0333129,0.0328305
-0.36,0.0351586,0.0335721,0.033086
-0.353333,0.0354352,0.0338304,0.0333406
-0.346667,0.0357108,0.0340876,0.0335942
-0.34,0.0359851,0.0343438,0.0338467
-0.333333,0.0362582,0.0345987,0.034098
-0.326667,0.0365299,0.0348522,0.034348
-0.32,0.0368,0.0351043,0.0345965
-0.313333,0.0370684,0.0353548,0.0348435
-0.306667,0.037335,0.0356037,0.0350889
-0.3,0.0375997,0.0358506,0.0353324
-0.293333,0.0378624,0.0360957,0.035574
-0.286667,0.0381228,0.0363387,0.0358136
-0.28,0.0383809,0.0365794,0.036051
-0.273333,0.0386364,0.0368178,0.0362861
-0.266667,0.0388894,0.0370538,0.0365188
-0.26,0.0391395,0.0372871,0.0367489
-0.253333,0.0393868,0.0375177,0.0369763
-0.246667,0.0396309,0.0377454,0.0372008
-0.24,0.0398718,0.03797,0.0374223
-0.233333,0.0401092,0.0381914,0.0376407
-0.226667,0.0403431,0.0384095,0.0378558
-0.22,0.0405732,0.0386241,0.0380674
-0.213333,0.0407994,0.038835,0.0382755
-0.206667,0.0410215,0.0390421,0.0384797
-0.2,0.0412394,0.0392452,0.0386801
-0.193333,0.0414528,0.0394442,0.0388764
-0.186667,0.0416615,0.0396388,0.0390684
-0.18,0.0418655,0.0398289,0.0392559
