phi,Alice,CMS,ATLAS
-1,0.0164746,0.0161518,0.0159283
-0.993333,0.0166657,0.0163334,0.0161072
-0.986667,0.016859,0.016517,0.016288
-0.98,0.0170545,0.0167027,0.0164708
-0.973333,0.0172522,0.0168904,0.0166557
-0.966667,0.0174521,0.0170801,0.0168425
-0.96,0.0176542,0.017272,0.0170314
-0.953333,0.0178586,0.0174659,0.0172223
-0.946667,0.0180652,0.0176618,0.0174153
-0.94,0.0182741,0.0178599,0.0176104
-0.933333,0.0184852,0.0180601,0.0178075
-0.926667,0.0186987,0.0182624,0.0180068
-0.92,0.0189144,0.0184669,0.0182081
-0.913333,0.0191325,0.0186735,0.0184115
-0.906667,0.0193529,0.0188822,0.0186171
-0.9,0.0195756,0.0190932,0.0188248
-0.893333,0.0198007,0.0193063,0.0190347
-0.886667,0.0200282,0.0195215,0.0192467
-0.88,0.020258,0.019739,0.0194608
-0.873333,0.0204902,0.0199587,0.0196771
-0.866667,0.0207248,0.0201805,0.0198956
-0.86,0.0209617,0.0204046,0.0201163
-0.853333,0.0212011,0.0206309,0.0203392
-0.846667,0.0214429,0.0208595,0.0205643
-0.84,0.0216871,0.0210903,0.0207915
-0.833333,0.0219337,0.0213233,0.021021
-0.826667,0.0221827,0.0215585,0.0212526
-0.82,0.0224342,0.021796,0.0214865
-0.813333,0.0226881,0.0220357,0.0217226
-0.806667,0.0229445,0.0222777,0.0219609
-0.8,0.0232032,0.0225219,0.0222014
-0.793333,0.0234644,0.0227684,0.0224441
-0.786667,0.0237281,0.0230171,0.0226891
-0.78,0.0239942,0.0232681,0.0229362
-0.773333,0.0242627,0.0235213,0.0231856
-0.766667,0.0245337,0.0237767,0.0234372
-0.76,0.0248071,0.0240344,0.023691
-0.753333,0.0250829,0.0242943,0.023947
-0.746667,0.0253611,0.0245565,0.0242051
-0.74,0.0256417,0.0248208,0.0244655
-0.733333,0.0259248,0.0250874,0.0247281
-0.726667,0.0262102,0.0253562,0.0249928
-0.72,0.0264981,0.0256271,0.0252597
-0.713333,0.0267882,0.0259003,0.0255287
-0.706667,0.0270808,0.0261756,0.0257998
-0.7,0.0273757,0.026453,0.0260731
-0.693333,0.027673,0.0267327,0.0263485
-0.686667,0.0279725,0.0270144,0.026626
-0.68,0.0282744,0.0272982,0.0269056
-0.673333,0.0285785,0.0275841,0.0271872
-0.666667,0.0288849,0.0278721,0.0274709
-0.66,0.0291935,0.0281622,0.0277566
-0.653333,0.0295043,0.0284542,0.0280443
-0.646667,0.0298173,0.0287483,0.0283339
-0.64,0.0301325,0.0290443,0.0286255
-0.633333,0.0304497,0.0293423,0.0289191
-0.626667,0.0307691,0.0296422,0.0292145
-0.62,0.0310906,0.029944,0.0295118
-0.613333,0.0314141,0.0302476,0.0298109
-0.606667,0.0317395,0.030553,0.0301117
-0.6,0.0320669,0.0308603,0.0304144
-0.593333,0.0323963,0.0311692,0.0307188
-0.586667,0.0327275,0.0314799,0.0310248
-0.58,0.0330605,0.0317922,0.0313325
-0.573333,0.0333953,0.0321062,0.0316418
-0.566667,0.0337319,0.0324217,0.0319527
-0.56,0.0340701,0.0327388,0.0322651
-0.553333,0.03441,0.0330573,0.0325789
-0.546667,0.0347514,0.0333773,0.0328941
-0.54,0.0350943,0.0336986,0.0332107
-0.533333,0.0354387,0.0340212,0.0335286
-0.526667,0.0357845,0.0343452,0.0338478
-0.52,0.0361317,0.0346703,0.0341681
-0.513333,0.0364801,0.0349965,0.0344895
-0.506667,0.0368296,0.0353238,0.034812
-0.5,0.0371803,0.0356521,0.0351355
-0.493333,0.0375321,0.0359813,0.03546
-0.486667,0.0378848,0.0363114,0.0357852
