phi,Alice,CMS,ATLAS
-1,0.0146212,0.0143347,0.0141364
-0.993333,0.0147908,0.0144959,0.0142951
-0.986667,0.0149624,0.0146589,0.0144556
-0.98,0.0151359,0.0148236,0.0146179
-0.973333,0.0153113,0.0149902,0.0147819
-0.966667,0.0154887,0.0151586,0.0149477
-0.96,0.0156681,0.0153289,0.0151154
-0.953333,0.0158495,0.0155009,0.0152848
-0.946667,0.0160328,0.0156749,0.0154561
-0.94,0.0162182,0.0158507,0.0156292
-0.933333,0.0164056,0.0160283,0.0158042
-0.926667,0.0165951,0.0162079,0.015981
-0.92,0.0167866,0.0163894,0.0161597
-0.913333,0.0169801,0.0165727,0.0163403
-0.906667,0.0171757,0.016758,0.0165227
-0.9,0.0173734,0.0169452,0.016707
-0.893333,0.0175731,0.0171343,0.0168933
-0.886667,0.017775,0.0173254,0.0170814
-0.88,0.017979,0.0175184,0.0172715
-0.873333,0.018185,0.0177133,0.0174635
-0.866667,0.0183932,0.0179102,0.0176574
-0.86,0.0186035,0.0181091,0.0178532
-0.853333,0.018816,0.01831,0.018051
-0.846667,0.0190306,0.0185128,0.0182508
-0.84,0.0192473,0.0187176,0.0184525
-0.833333,0.0194662,0.0189244,0.0186561
-0.826667,0.0196872,0.0191332,0.0188617
-0.82,0.0199104,0.0193439,0.0190693
-0.813333,0.0201357,0.0195567,0.0192788
-0.806667,0.0203632,0.0197714,0.0194903
-0.8,0.0205929,0.0199882,0.0197038
-0.793333,0.0208247,0.0202069,0.0199192
-0.786667,0.0210587,0.0204277,0.0201366
-0.78,0.0212948,0.0206504,0.0203559
-0.773333,0.0215332,0.0208751,0.0205772
-0.766667,0.0217736,0.0211018,0.0208005
-0.76,0.0220163,0.0213305,0.0210257
-0.753333,0.022261,0.0215612,0.0212529
-0.746667,0.022508,0.0217939,0.0214821
-0.74,0.022757,0.0220285,0.0217131
-0.733333,0.0230082,0.0222651,0.0219462
-0.726667,0.0232616,0.0225036,0.0221811
-0.72,0.023517,0.0227441,0.0224179
-0.713333,0.0237746,0.0229865,0.0226567
-0.706667,0.0240342,0.0232308,0.0228974
-0.7,0.0242959,0.0234771,0.0231399
-0.693333,0.0245597,0.0237252,0.0233843
-0.686667,0.0248256,0.0239753,0.0236306
-0.68,0.0250935,0.0242272,0.0238787
-0.673333,0.0253634,0.0244809,0.0241287
-0.666667,0.0256353,0.0247365,0.0243804
-0.66,0.0259092,0.0249939,0.024634
-0.653333,0.0261851,0.0252531,0.0248893
-0.646667,0.0264629,0.0255141,0.0251464
-0.64,0.0267426,0.0257768,0.0254052
-0.633333,0.0270242,0.0260413,0.0256657
-0.626667,0.0273076,0.0263074,0.0259279
-0.62,0.0275929,0.0265753,0.0261917
-0.613333,0.02788,0.0268447,0.0264571
-0.606667,0.0281688,0.0271158,0.0267242
-0.6,0.0284594,0.0273885,0.0269928
-0.593333,0.0287517,0.0276627,0.0272629
-0.586667,0.0290456,0.0279384,0.0275345
-0.58,0.0293412,0.0282156,0.0278076
-0.573333,0.0296384,0.0284942,0.0280821
-0.566667,0.029937,0.0287743,0.028358
-0.56,0.0302372,0.0290557,0.0286353
-0.553333,0.0305388,0.0293384,0.0289138
-0.546667,0.0308419,0.0296223,0.0291935
-0.54,0.0311462,0.0299075,0.0294745
-0.533333,0.0314519,0.0301939,0.0297566
-0.526667,0.0317588,0.0304813,0.0300399
-0.52,0.0320669,0.0307698,0.0303242
-0.513333,0.032376,0.0310594,0.0306095
-0.506667,0.0326863,0.0313499,0.0308957
-0.5,0.0329975,0.0316412,0.0311828
-0.493333,0.0333097,0.0319334,0.0314707
-0.486667,0.0336228,0.0322264,0.0317594
-0.48,0.0339366,0.0325201,0.0320488
-0.473333,0.0342511,0.0328143,0.0323388
-0.466667,0.0345663,0.0331092,0.0326293
-0.46,0.034882,0.0334045,0.0329204
-0.453333,0.0351982,0.0337003,0.0332118
-0.446667,0.0355148,0.0339963,0.0335036
-0.44,0.0358317,0.0342926,0.0337956
-0.433333,0.0361488,0.0345891,0.0340878
-0.426667,0.0364661,0.0348857,0.0343801
-0.42,0.0367834,0.0351823,0.0346724
-0.413333,0.0371006,0.0354787,0.0349646
-0.406667,0.0374176,0.035775,0.0352566
-0.4,0.0377344,0.036071,0.0355483
-0.393333,0.0380508,0.0363666,0.0358397
-0.386667,0.0383667,0.0366617,0.0361306
-0.38,0.038682,0.0369562,0.0364209
-0.373333,0.0389966,0.0372501,0.0367105
-0.366667,0.0393104,0.0375431,0.0369994
-0.36,0.0396232,0.0378352,0.0372874
-0.353333,0.0399349,0.0381263,0.0375743
-0.346667,0.0402455,0.0384162,0.0378601
-0.34,0.0405547,0.0387049,0.0381447
-0.333333,0.0408624,0.0389922,0.0384279
-0.326667,0.0411686,0.0392779,0.0387096
-0.32,0.041473,0.039562,0.0389898
-0.313333,0.0417755,0.0398444,0.0392681
-0.306667,0.042076,0.0401248,0.0395446
-0.3,0.0423743,0.0404031,0.039819
-0.293333,0.0426703,0.0406793,0.0400913
-0.286667,0.0429638,0.0409531,0.0403613
-0.28,0.0432546,0.0412244,0.0406289
-0.273333,0.0435427,0.0414931,0.0408939
-0.266667,0.0438277,0.041759,0.0411561
-0.26,0.0441096,0.042022,0.0414154
-0.253333,0.0443883,0.0422818,0.0416716
-0.246667,0.0446634,0.0425384,0.0419247
-0.24,0.0449348,0.0427916,0.0421744
-0.233333,0.0452024,0.0430411,0.0424205
-0.226667,0.045466,0.0432869,0.0426629
-0.22,0.0457254,0.0435287,0.0429014
-0.213333,0.0459803,0.0437664,0.0431359
-0.206667,0.0462306,0.0439998,0.0433661
-0.2,0.0464761,0.0442287,0.0435919
-0.193333,0.0467166,0.0444529,0.043813
-0.186667,0.0469519,0.0446723,0.0440294
-0.18,0.0471818,0.0448866,0.0442408
-0.173333,0.047406,0.0450956,0.044447
-0.166667,0.0476244,0.0452992,0.0446479
-0.16,0.0478367,0.0454971,0.0448431
-0.153333,0.0480428,0.0456892,0.0450326
-0.146667,0.0482423,0.0458752,0.0452162
-0.14,0.0484351,0.046055,0.0453935
-0.133333,0.048621,0.0462282,0.0455645
-0.126667,0.0487998,0.0463948,0.0457288
-0.12,0.0489711,0.0465545,0.0458864
-0.113333,0.0491348,0.0467071,0.046037
-0.106667,0.0492907,0.0468524,0.0461804
-0.1,0.0494385,0.0469902,0.0463163
-0.0933333,0.049578,0.0471203,0.0464447
-0.0866667,0.0497091,0.0472424,0.0465652
-0.08,0.0498314,0.0473564,0.0466778
-0.0733333,0.0499448,0.0474621,0.0467821
-0.0666667,0.0500491,0.0475594,0.046878
-0.06,0.0501441,0.0476479,0.0469654
-0.0533333,0.0502297,0.0477277,0.0470441
-0.0466667,0.0503056,0.0477984,0.047114
-0.04,0.0503717,0.04786,0.0471748
-0.0333333,0.0504278,0.0479124,0.0472264
-0.0266667,0.050474,0.0479554,0.0472689
-0.02,0.0505099,0.0479889,0.047302
-0.0133333,0.0505357,0.0480129,0.0473257
-0.00666667,0.0505512,0.0480273,0.0473399
2.48239e-15,0.0505563,0.0480322,0.0473447
0.00666667,0.0505512,0.0480273,0.0473399
0.0133333,0.0505357,0.0480129,0.0473257
0.02,0.0505099,0.0479889,0.047302
0.0266667,0.050474,0.0479554,0.0472689
0.0333333,0.0504278,0.0479124,0.0472264
0.04,0.0503717,0.04786,0.0471748
0.0466667,0.0503056,0.0477984,0.047114
0.0533333,0.0502297,0.0477277,0.0470441
0.06,0.0501441,0.0476479,0.0469654
0.0666667,0.0500491,0.0475594,0.046878
0.0733333,0.0499448,0.0474621,0.0467821
0.08,0.0498314,0.0473564,0.0466778
0.0866667,0.0497091,0.0472424,0.0465652
0.0933333,0.049578,0.0471203,0.0464447
0.1,0.0494385,0.0469902,0.0463163
0.106667,0.0492907,0.0468524,0.0461804
0.113333,0.0491348,0.0467071,0.046037
0.12,0.0489711,0.0465545,0.0458864
0.126667,0.0487998,0.0463948,0.0457288
0.133333,0.048621,0.0462282,0.0455645
0.14,0.0484351,0.046055,0.0453935
0.146667,0.0482423,0.0458752,0.0452162
0.153333,0.0480428,0.0456892,0.0450326
0.16,0.0478367,0.0454971,0.0448431
0.166667,0.0476244,0.0452992,0.0446479
0.173333,0.047406,0.0450956,0.044447
0.18,0.0471818,0.0448866,0.0442408
0.186667,0.0469519,0.0446723,0.0440294
0.193333,0.0467166,0.0444529,0.043813
0.2,0.0464761,0.0442287,0.0435919
0.206667,0.0462306,0.0439998,0.0433661
0.213333,0.0459803,0.0437664,0.0431359
0.22,0.0457254,0.0435287,0.0429014
0.226667,0.045466,0.0432869,0.0426629
0.233333,0.0452024,0.0430411,0.0424205
0.24,0.0449348,0.0427916,0.0421744
0.246667,0.0446634,0.0425384,0.0419247
0.253333,0.0443883,0.0422818,0.0416716
0.26,0.0441096,0.042022,0.0414154
0.266667,0.0438277,0.041759,0.0411561
0.273333,0.0435427,0.0414931,0.0408939
0.28,0.0432546,0.0412244,0.0406289
0.286667,0.0429638,0.0409531,0.0403613
0.293333,0.0426703,0.0406793,0.0400913
0.3,0.0423743,0.0404031,0.039819
0.306667,0.042076,0.0401248,0.0395446
0.313333,0.0417755,0.0398444,0.0392681
0.32,0.041473,0.039562,0.0389898
0.326667,0.0411686,0.0392779,0.0387096
0.333333,0.0408624,0.0389922,0.0384279
0.34,0.0405547,0.0387049,0.0381447
0.346667,0.0402455,0.0384162,0.0378601
0.353333,0.0399349,0.0381263,0.0375743
0.36,0.0396232,0.0378352,0.0372874
0.366667,0.0393104,0.0375431,0.0369994
