phi,Alice,CMS,ATLAS
-1.28,0.0047081,0.00469362,0.00463559
-1.27147,0.00477646,0.00475929,0.0047003
-1.26293,0.00484594,0.004826,0.00476604
-1.2544,0.00491654,0.00489377,0.00483281
-1.24587,0.00498829,0.00496261,0.00490065
-1.23733,0.0050612,0.00503254,0.00496955
-1.2288,0.00513528,0.00510357,0.00503954
-1.22027,0.00521056,0.00517572,0.00511063
-1.21173,0.00528705,0.005249,0.00518284
-1.2032,0.00536477,0.00532343,0.00525618
-1.19467,0.00544372,0.00539903,0.00533066
-1.18613,0.00552394,0.0054758,0.0054063
-1.1776,0.00560544,0.00555376,0.00548311
-1.16907,0.00568823,0.00563293,0.00556112
-1.16053,0.00577232,0.00571333,0.00564033
-1.152,0.00585775,0.00579496,0.00572076
-1.14347,0.00594452,0.00587785,0.00580243
-1.13493,0.00603265,0.00596201,0.00588534
-1.1264,0.00612215,0.00604746,0.00596952
-1.11787,0.00621305,0.0061342,0.00605498
-1.10933,0.00630536,0.00622226,0.00614174
-1.1008,0.0063991,0.00631165,0.00622981
-1.09227,0.00649429,0.00640239,0.0063192
-1.08373,0.00659093,0.00649448,0.00640993
-1.0752,0.00668905,0.00658796,0.00650202
-1.06667,0.00678867,0.00668282,0.00659547
-1.05813,0.0068898,0.00677909,0.00669031
-1.0496,0.00699245,0.00687678,0.00678655
-1.04107,0.00709665,0.0069759,0.0068842
-1.03253,0.0072024,0.00707647,0.00698328
-1.024,0.00730973,0.00717851,0.0070838
-1.01547,0.00741865,0.00728202,0.00718578
-1.00693,0.00752918,0.00738703,0.00728922
-0.9984,0.00764132,0.00749354,0.00739414
-0.989867,0.0077551,0.00760156,0.00750056
-0.981333,0.00787054,0.00771112,0.00760849
-0.9728,0.00798763,0.00782222,0.00771794
-0.964267,0.00810641,0.00793488,0.00782892
-0.955733,0.00822687,0.0080491,0.00794145
-0.9472,0.00834904,0.00816491,0.00805553
-0.938667,0.00847293,0.00828231,0.00817118
-0.930133,0.00859855,0.00840131,0.0082884
-0.9216,0.00872591,0.00852192,0.00840722
-0.913067,0.00885502,0.00864415,0.00852763
-0.904533,0.0089859,0.00876802,0.00864965
-0.896,0.00911855,0.00889353,0.00877329
-0.887467,0.00925299,0.00902068,0.00889855
-0.878933,0.00938922,0.0091495,0.00902545
-0.8704,0.00952725,0.00927998,0.00915398
-0.861867,0.00966709,0.00941213,0.00928417
-0.853333,0.00980875,0.00954595,0.009416
-0.8448,0.00995223,0.00968146,0.00954949
-0.836267,0.0100975,0.00981866,0.00968465
-0.827733,0.0102447,0.00995755,0.00982147
-0.8192,0.0103937,0.0100981,0.00995996
-0.810667,0.0105445,0.0102404,0.0101001
-0.802133,0.0106971,0.0103844,0.0102419
-0.7936,0.0108516,0.01053,0.0103854
-0.785067,0.011008,0.0106774,0.0105306
-0.776533,0.0111661,0.0108265,0.0106775
-0.768,0.0113261,0.0109772,0.010826
-0.759467,0.011488,0.0111296,0.0109761
-0.750933,0.0116517,0.0112837,0.011128
-0.7424,0.0118171,0.0114395,0.0112814
-0.733867,0.0119845,0.011597,0.0114365
-0.725333,0.0121536,0.0117561,0.0115933
-0.7168,0.0123245,0.0119168,0.0117517
-0.708267,0.0124971,0.0120792,0.0119116
-0.699733,0.0126716,0.0122432,0.0120732
-0.6912,0.0128478,0.0124088,0.0122364
-0.682667,0.0130257,0.012576,0.0124011
-0.674133,0.0132054,0.0127448,0.0125674
-0.6656,0.0133867,0.0129151,0.0127352
-0.657067,0.0135697,0.013087,0.0129045
-0.648533,0.0137544,0.0132603,0.0130753
-0.64,0.0139406,0.0134352,0.0132476
-0.631467,0.0141285,0.0136115,0.0134213
-0.622933,0.0143179,0.0137892,0.0135964
-0.6144,0.0145089,0.0139683,0.0137728
-0.605867,0.0147013,0.0141487,0.0139506
-0.597333,0.0148952,0.0143305,0.0141298
-0.5888,0.0150905,0.0145136,0.0143102
-0.580267,0.0152872,0.0146979,0.0144918
-0.571733,0.0154852,0.0148834,0.0146746
-0.5632,0.0156845,0.0150701,0.0148585
-0.554667,0.0158849,0.0152579,0.0150436
-0.546133,0.0160866,0.0154467,0.0152296
-0.5376,0.0162894,0.0156366,0.0154167
