phi,Alice,CMS,ATLAS
-1,0.0127678,0.0125176,0.0123445
-0.993333,0.0129159,0.0126584,0.0124831
-0.986667,0.0130657,0.0128007,0.0126232
-0.98,0.0132172,0.0129446,0.0127649
-0.973333,0.0133704,0.0130901,0.0129081
-0.966667,0.0135254,0.0132371,0.013053
-0.96,0.013682,0.0133858,0.0131993
-0.953333,0.0138404,0.013536,0.0133473
-0.946667,0.0140005,0.0136879,0.0134969
-0.94,0.0141624,0.0138414,0.0136481
-0.933333,0.014326,0.0139966,0.0138008
-0.926667,0.0144915,0.0141534,0.0139552
-0.92,0.0146587,0.0143118,0.0141113
-0.913333,0.0148277,0.0144719,0.014269
-0.906667,0.0149985,0.0146337,0.0144283
-0.9,0.0151711,0.0147972,0.0145892
-0.893333,0.0153456,0.0149623,0.0147519
-0.886667,0.0155218,0.0151292,0.0149162
-0.88,0.0156999,0.0152977,0.0150821
-0.873333,0.0158799,0.015468,0.0152498
-0.866667,0.0160617,0.0156399,0.0154191
-0.86,0.0162453,0.0158136,0.0155902
-0.853333,0.0164309,0.015989,0.0157629
-0.846667,0.0166182,0.0161661,0.0159373
-0.84,0.0168075,0.0163449,0.0161134
-0.833333,0.0169986,0.0165255,0.0162912
-0.826667,0.0171916,0.0167078,0.0164708
-0.82,0.0173865,0.0168919,0.016652
-0.813333,0.0175833,0.0170777,0.016835
-0.806667,0.017782,0.0172652,0.0170197
-0.8,0.0179825,0.0174545,0.0172061
-0.793333,0.0181849,0.0176455,0.0173942
-0.786667,0.0183893,0.0178382,0.017584
-0.78,0.0185955,0.0180327,0.0177756
-0.773333,0.0188036,0.018229,0.0179689
-0.766667,0.0190136,0.0184269,0.0181638
-0.76,0.0192255,0.0186267,0.0183605
-0.753333,0.0194392,0.0188281,0.0185589
-0.746667,0.0196549,0.0190312,0.018759
-0.74,0.0198723,0.0192361,0.0189608
-0.733333,0.0200917,0.0194427,0.0191642
-0.726667,0.0203129,0.019651,0.0193694
-0.72,0.020536,0.019861,0.0195762
-0.713333,0.0207609,0.0200727,0.0197847
-0.706667,0.0209876,0.0202861,0.0199949
-0.7,0.0212162,0.0205011,0.0202067
-0.693333,0.0214465,0.0207178,0.0204201
-0.686667,0.0216787,0.0209362,0.0206352
-0.68,0.0219126,0.0211561,0.0208518
-0.673333,0.0221483,0.0213777,0.0210701
-0.666667,0.0223858,0.0216009,0.02129
-0.66,0.0226249,0.0218257,0.0215114
-0.653333,0.0228658,0.022052,0.0217343
-0.646667,0.0231084,0.0222799,0.0219588
-0.64,0.0233527,0.0225094,0.0221848
-0.633333,0.0235986,0.0227403,0.0224123
-0.626667,0.0238461,0.0229727,0.0226412
-0.62,0.0240952,0.0232066,0.0228716
-0.613333,0.0243459,0.0234419,0.0231034
-0.606667,0.0245981,0.0236786,0.0233366
-0.6,0.0248519,0.0239167,0.0235712
-0.593333,0.0251071,0.0241562,0.0238071
-0.586667,0.0253638,0.0243969,0.0240443
-0.58,0.0256219,0.024639,0.0242827
-0.573333,0.0258814,0.0248823,0.0245224
-0.566667,0.0261422,0.0251268,0.0247633
-0.56,0.0264043,0.0253726,0.0250054
-0.553333,0.0266677,0.0256194,0.0252486
-0.546667,0.0269323,0.0258674,0.025493
-0.54,0.0271981,0.0261164,0.0257383
-0.533333,0.027465,0.0263665,0.0259847
-0.526667,0.027733,0.0266175,0.026232
-0.52,0.028002,0.0268694,0.0264803
-0.513333,0.028272,0.0271223,0.0267294
-0.506667,0.028543,0.0273759,0.0269793
-0.5,0.0288148,0.0276304,0.02723
-0.493333,0.0290874,0.0278855,0.0274815
-0.486667,0.0293607,0.0281414,0.0277336
-0.48,0.0296348,0.0283978,0.0279862
-0.473333,0.0299094,0.0286548,0.0282395
-0.466667,0.0301846,0.0289123,0.0284932
-0.46,0.0304603,0.0291701,0.0287473
-0.453333,0.0307365,0.0294284,0.0290019
-0.446667,0.0310129,0.0296869,0.0292566
-0.44,0.0312897,0.0299457,0.0295117
-0.433333,0.0315666,0.0302046,0.0297668
-0.426667,0.0318436,0.0304636,0.030022
-0.42,0.0321207,0.0307225,0.0302773
-0.413333,0.0323977,0.0309814,0.0305324
-0.406667,0.0326745,0.0312401,0.0307874
-0.4,0.0329512,0.0314986,0.0310422
-0.393333,0.0332274,0.0317567,0.0312966
-0.386667,0.0335033,0.0320144,0.0315506
-0.38,0.0337787,0.0322716,0.0318042
-0.373333,0.0340534,0.0325282,0.0320571
-0.366667,0.0343274,0.0327841,0.0323093
-0.36,0.0346005,0.0330392,0.0325608
-0.353333,0.0348728,0.0332934,0.0328114
-0.346667,0.0351439,0.0335466,0.033061
-0.34,0.035414,0.0337986,0.0333095
-0.333333,0.0356827,0.0340495,0.0335568
-0.326667,0.03595,0.034299,0.0338028
-0.32,0.0362158,0.0345471,0.0340474
-0.313333,0.03648,0.0347937,0.0342905
-0.306667,0.0367424,0.0350385,0.0345319
-0.3,0.0370029,0.0352816,0.0347716
-0.293333,0.0372614,0.0355227,0.0350093
-0.286667,0.0375177,0.0357619,0.0352451
-0.28,0.0377716,0.0359988,0.0354787
-0.273333,0.0380232,0.0362334,0.0357101
-0.266667,0.0382721,0.0364656,0.0359391
-0.26,0.0385183,0.0366953,0.0361655
-0.253333,0.0387616,0.0369222,0.0363893
-0.246667,0.0390018,0.0371462,0.0366103
-0.24,0.0392389,0.0373673,0.0368283
-0.233333,0.0394726,0.0375852,0.0370432
-0.226667,0.0397027,0.0377998,0.0372549
-0.22,0.0399292,0.038011,0.0374632
-0.213333,0.0401518,0.0382186,0.0376679
-0.206667,0.0403704,0.0384224,0.037869
-0.2,0.0405848,0.0386223,0.0380661
-0.193333,0.0407948,0.0388181,0.0382593
-0.186667,0.0410002,0.0390096,0.0384482
-0.18,0.041201,0.0391967,0.0386328
-0.173333,0.0413968,0.0393793,0.0388129
-0.166667,0.0415875,0.0395571,0.0389883
-0.16,0.0417729,0.0397299,0.0391588
-0.153333,0.0419528,0.0398976,0.0393243
-0.146667,0.0421271,0.0400601,0.0394845
-0.14,0.0422955,0.040217,0.0396394
-0.133333,0.0424578,0.0403683,0.0397887
-0.126667,0.0426139,0.0405138,0.0399322
-0.12,0.0427635,0.0406533,0.0400698
-0.113333,0.0429064,0.0407865,0.0402013
-0.106667,0.0430426,0.0409134,0.0403265
-0.1,0.0431716,0.0410337,0.0404453
-0.0933333,0.0432935,0.0411473,0.0405573
-0.0866667,0.0434079,0.0412539,0.0406626
-0.08,0.0435147,0.0413535,0.0407609
-0.0733333,0.0436138,0.0414458,0.040852
-0.0666667,0.0437049,0.0415307,0.0409358
-0.06,0.0437878,0.0416081,0.0410121
-0.0533333,0.0438625,0.0416777,0.0410808
-0.0466667,0.0439288,0.0417395,0.0411418
-0.04,0.0439865,0.0417933,0.0411949
-0.0333333,0.0440356,0.041839,0.04124
-0.0266667,0.0440759,0.0418765,0.041277
-0.02,0.0441073,0.0419058,0.041306
-0.0133333,0.0441298,0.0419268,0.0413266
-0.00666667,0.0441433,0.0419394,0.0413391
2.48239e-15,0.0441478,0.0419436,0.0413432
0.00666667,0.0441433,0.0419394,0.0413391
0.0133333,0.0441298,0.0419268,0.0413266
0.02,0.0441073,0.0419058,0.041306
0.0266667,0.0440759,0.0418765,0.041277
0.0333333,0.0440356,0.041839,0.04124
0.04,0.0439865,0.0417933,0.0411949
0.0466667,0.0439288,0.0417395,0.0411418
0.0533333,0.0438625,0.0416777,0.0410808
0.06,0.0437878,0.0416081,0.0410121
0.0666667,0.0437049,0.0415307,0.0409358
0.0733333,0.0436138,0.0414458,0.040852
0.08,0.0435147,0.0413535,0.0407609
0.0866667,0.0434079,0.0412539,0.0406626
0.0933333,0.0432935,0.0411473,0.0405573
0.1,0.0431716,0.0410337,0.0404453
0.106667,0.0430426,0.0409134,0.0403265
0.113333,0.0429064,0.0407865,0.0402013
0.12,0.0427635,0.0406533,0.0400698
0.126667,0.0426139,0.0405138,0.0399322
0.133333,0.0424578,0.0403683,0.0397887
0.14,0.0422955,0.040217,0.0396394
0.146667,0.0421271,0.0400601,0.0394845
0.153333,0.0419528,0.0398976,0.0393243
0.16,0.0417729,0.0397299,0.0391588
0.166667,0.0415875,0.0395571,0.0389883
0.173333,0.0413968,0.0393793,0.0388129
0.18,0.041201,0.0391967,0.0386328
0.186667,0.0410002,0.0390096,0.0384482
0.193333,0.0407948,0.0388181,0.0382593
0.2,0.0405848,0.0386223,0.0380661
0.206667,0.0403704,0.0384224,0.037869
0.213333,0.0401518,0.0382186,0.0376679
0.22,0.0399292,0.038011,0.0374632
0.226667,0.0397027,0.0377998,0.0372549
0.233333,0.0394726,0.0375852,0.0370432
0.24,0.0392389,0.0373673,0.0368283
0.246667,0.0390018,0.0371462,0.0366103
0.253333,0.0387616,0.0369222,0.0363893
0.26,0.0385183,0.0366953,0.0361655
0.266667,0.0382721,0.0364656,0.0359391
0.273333,0.0380232,0.0362334,0.0357101
0.28,0.0377716,0.0359988,0.0354787
0.286667,0.0375177,0.0357619,0.0352451
0.293333,0.0372614,0.0355227,0.0350093
0.3,0.0370029,0.0352816,0.0347716
0.306667,0.0367424,0.0350385,0.0345319
0.313333,0.03648,0.0347937,0.0342905
0.32,0.0362158,0.0345471,0.0340474
0.326667,0.03595,0.034299,0.0338028
0.333333,0.0356827,0.0340495,0.0335568
0.34,0.035414,0.0337986,0.0333095
0.346667,0.0351439,0.0335466,0.033061
0.353333,0.0348728,0.0332934,0.0328114
0.36,0.0346005,0.0330392,0.0325608
0.366667,0.0343274,0.0327841,0.0323093
0.373333,0.0340534,0.0325282,0.0320571
0.38,0.0337787,0.0322716,0.0318042
0.386667,0.0335033,0.0320144,0.0315506
0.393333,0.0332274,0.0317567,0.0312966
0.4,0.0329512,0.0314986,0.0310422
0.406667,0.0326745,0.0312401,0.0307874
0.413333,0.0323977,0.0309814,0.0305324
0.42,0.0321207,0.0307225,0.0302773
0.426667,0.0318436,0.0304636,0.030022
0.433333,0.0315666,0.0302046,0.0297668
0.44,0.0312897,0.0299457,0.0295117
0.446667,0.0310129,0.0296869,0.0292566
0.453333,0.0307365,0.0294284,0.0290019
0.46,0.0304603,0.0291701,0.0287473
0.466667,0.0301846,0.0289123,0.0284932
0.473333,0.0299094,0.0286548,0.0282395
0.48,0.0296348,0.0283978,0.0279862
0.486667,0.0293607,0.0281414,0.0277336
